0,438,15,337,259,62,58,8
1,441,40,476,43,133,207,488
2,25,97,204,191,392,401,221
3,342,418,397,359,70,72,306
4,428,419,342,199,383,126,13
5,348,134,331,48,464,217,342
6,255,95,231,151,245,414,333
7,453,208,336,360,52,256,339
8,192,142,367,159,26,394,416
9,495,255,298,358,461,48,13
10,106,471,446,66,13,74,479
11,120,435,308,187,470,214,235
12,456,184,44,278,133,292,461
13,300,358,111,152,481,281,52
14,86,124,454,108,403,348,472
15,5,248,182,290,120,100,167
16,41,274,480,104,90,19,436
17,35,360,7,233,388,303,324
18,424,216,481,296,329,111,347
19,446,295,376,50,416,359,293
20,51,302,422,143,436,152,430
21,248,14,8,327,292,73,283
22,97,381,209,211,30,400,424
23,220,70,354,403,491,85,365
24,455,446,175,303,351,397,298
25,18,360,303,100,101,248,304
26,397,477,317,454,76,330,471
27,342,62,379,176,433,187,417
28,33,202,127,70,29,30,74
29,494,351,251,91,479,125,91
30,234,46,149,259,375,106,367
31,494,481,92,304,21,331,208
32,317,469,474,126,261,257,388
33,14,346,293,269,105,424,178
34,476,116,219,2,215,114,28
35,325,322,49,206,431,356,10
36,414,369,101,360,354,314,75
37,367,166,87,325,31,168,355
38,191,242,492,134,472,494,268
39,359,197,498,274,304,476,438
40,384,53,436,260,376,374,275
41,160,17,36,419,211,436,117
42,458,415,376,9,291,419,251
43,129,64,175,423,305,78,483
44,268,158,388,299,313,338,268
45,78,28,113,433,420,159,369
46,21,243,173,443,345,363,369
47,28,248,83,123,12,445,108
48,462,117,408,253,475,226,439
49,440,389,350,68,379,100,331
50,295,86,23,438,152,495,431
51,269,388,382,252,134,9,120
52,420,313,457,461,451,26,130
53,154,229,382,208,211,444,3
54,87,275,263,217,215,368,312
55,260,137,167,161,334,238,203
56,295,352,456,202,154,418,362
57,234,490,367,167,11,358,482
58,177,423,305,18,141,216,54
59,95,110,214,52,494,39,424
60,265,419,320,8,71,114,463
61,142,121,242,481,305,36,474
62,491,320,327,17,426,114,190
63,394,38,407,477,482,461,289
64,426,136,10,135,120,367,30
65,397,42,397,61,155,273,205
66,119,305,327,254,209,462,70
